Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-30,0.7491,0.7502,0.6255,0.6283,20777937,0,0
2018-01-31,0.6284,0.6491,0.5951,0.636,21535701,0,0
2018-02-01,0.6388,0.6531,0.5185,0.5663,16913802,0,0
2018-02-02,0.566,0.5663,0.4025,0.517,8715169,0,0
2018-02-03,0.5196,0.5789,0.4765,0.5572,10644797,0,0
2018-02-04,0.5554,0.5714,0.4433,0.4793,9966989,0,0
2018-02-05,0.4747,0.4838,0.3507,0.3697,9476028,0,0
2018-02-06,0.3704,0.4831,0.2897,0.4466,11556675,0,0
2018-02-07,0.445,0.4817,0.398,0.4281,9688417,0,0
2018-02-08,0.4276,0.4955,0.4277,0.4693,7209506,0,0
2018-02-09,0.4712,0.5033,0.4481,0.4867,5601075,0,0
2018-02-10,0.487,0.5123,0.4323,0.4543,5571690,0,0
2018-02-11,0.4535,0.4535,0.405,0.42,3542590,0,0
2018-02-12,0.4221,0.4891,0.4221,0.4785,4640217,0,0
2018-02-13,0.4781,0.4802,0.4283,0.4375,4195203,0,0
2018-02-14,0.4375,0.5039,0.4354,0.4941,5717333,0,0
2018-02-15,0.4927,0.5368,0.4923,0.5173,6821021,0,0
2018-02-16,0.5163,0.5509,0.5148,0.5465,6229479,0,0
2018-02-17,0.5482,0.6047,0.5423,0.6012,6771114,0,0
2018-02-18,0.6037,0.6037,0.5218,0.5331,6174287,0,0
2018-02-19,0.5302,0.5488,0.5148,0.5349,5470709,0,0
2018-02-20,0.5356,0.5528,0.4912,0.4955,7027594,0,0
2018-02-21,0.4951,0.513,0.4604,0.4618,5510565,0,0
2018-02-22,0.4618,0.4797,0.4277,0.4346,4538669,0,0
2018-02-23,0.4337,0.4636,0.4256,0.4538,3540002,0,0
2018-02-24,0.4519,0.4602,0.4204,0.429,4359581,0,0
2018-02-25,0.4274,0.4779,0.4274,0.4512,7325165,0,0
2018-02-26,0.4512,0.4715,0.441,0.4636,3360555,0,0
2018-02-27,0.4653,0.4814,0.4552,0.4667,4476669,0,0
2018-02-28,0.466,0.4782,0.4357,0.4363,4083930,0,0
2018-03-01,0.4362,0.5181,0.4214,0.4811,14257807,0,0
2018-03-02,0.4794,0.5401,0.4742,0.5224,16860907,0,0
2018-03-03,0.5213,0.5235,0.4804,0.4884,6462515,0,0
2018-03-04,0.4878,0.489,0.4735,0.4857,4198404,0,0
2018-03-05,0.4853,0.5054,0.4822,0.4873,5214145,0,0
2018-03-06,0.4874,0.4876,0.4309,0.438,4080769,0,0
2018-03-07,0.437,0.4476,0.361,0.3871,6375315,0,0
2018-03-08,0.3852,0.4005,0.3465,0.3498,4149623,0,0
2018-03-09,0.3474,0.3497,0.2952,0.3327,6472378,0,0
2018-03-10,0.3315,0.3801,0.3315,0.3344,5466867,0,0
2018-03-11,0.333,0.3595,0.3223,0.3496,3310392,0,0
2018-03-12,0.3485,0.359,0.3283,0.3361,8929326,0,0
2018-03-13,0.3352,0.3432,0.3182,0.3196,5459962,0,0
2018-03-14,0.3195,0.3255,0.2793,0.2865,6018439,0,0
2018-03-15,0.2868,0.2914,0.2421,0.2557,9304614,0,0
2018-03-16,0.2568,0.2683,0.2497,0.2589,5746746,0,0
2018-03-17,0.2601,0.2642,0.2443,0.249,6060483,0,0
2018-03-18,0.2484,0.2487,0.2054,0.2477,6710581,0,0
2018-03-19,0.2475,0.2697,0.2419,0.267,5742984,0,0
2018-03-20,0.2697,0.2892,0.2562,0.2767,6202514,0,0
2018-03-21,0.2773,0.2932,0.2659,0.2684,6570563,0,0
2018-03-22,0.2681,0.2811,0.2486,0.2684,4944683,0,0
2018-03-23,0.2691,0.2731,0.2508,0.2731,6489031,0,0
2018-03-24,0.2762,0.3032,0.2726,0.2771,7007259,0,0
2018-03-25,0.2737,0.2859,0.2634,0.2717,5272508,0,0
2018-03-26,0.2725,0.3002,0.2379,0.2784,15214510,0,0
2018-03-27,0.2783,0.3362,0.2649,0.2912,26355700,0,0
2018-03-28,0.2889,0.3003,0.2818,0.289,9459172,0,0
2018-03-29,0.2883,0.2902,0.2398,0.2433,6197358,0,0
2018-03-30,0.2428,0.2455,0.228,0.2397,6326673,0,0
2018-03-31,0.2396,0.2525,0.2396,0.2518,5180551,0,0
2018-04-01,0.2522,0.2552,0.2253,0.24,5769575,0,0
2018-04-02,0.241,0.2585,0.2391,0.2576,6231337,0,0
2018-04-03,0.2576,0.2894,0.2574,0.2709,13266759,0,0
2018-04-04,0.2707,0.271,0.24,0.2402,5533832,0,0
2018-04-05,0.2396,0.2699,0.231,0.2373,9054146,0,0
2018-04-06,0.2369,0.2412,0.229,0.2302,5421296,0,0
2018-04-07,0.2304,0.2516,0.2302,0.2488,5969919,0,0
2018-04-08,0.2493,0.2591,0.2486,0.2556,5398669,0,0
2018-04-09,0.2549,0.2584,0.2336,0.2375,5698549,0,0
2018-04-10,0.2382,0.2505,0.2325,0.2505,6561147,0,0
2018-04-11,0.2505,0.2642,0.2482,0.2627,6037961,0,0
2018-04-12,0.2621,0.2938,0.2508,0.2937,7460090,0,0
2018-04-13,0.2949,0.3266,0.2859,0.3051,9597290,0,0
2018-04-14,0.3054,0.3292,0.304,0.3244,6342446,0,0
2018-04-15,0.3241,0.3363,0.3241,0.3363,6299206,0,0
2018-04-16,0.3371,0.3451,0.327,0.3414,9489241,0,0
2018-04-17,0.3416,0.3536,0.3346,0.3453,8900181,0,0
2018-04-18,0.3451,0.5088,0.345,0.4568,61289255,0,0
2018-04-19,0.4576,0.5071,0.4459,0.4866,34542267,0,0
2018-04-20,0.4856,0.5327,0.4721,0.5203,21167818,0,0
2018-04-21,0.5174,0.5271,0.48,0.525,10982185,0,0
2018-04-22,0.5268,0.5668,0.5119,0.5431,13584938,0,0
2018-04-23,0.5412,0.5601,0.5389,0.5597,9434981,0,0
2018-04-24,0.5591,0.6021,0.5592,0.587,13786812,0,0
2018-04-25,0.5869,0.5877,0.4899,0.5184,14057541,0,0
2018-04-26,0.5229,0.5659,0.5123,0.5653,9660243,0,0
2018-04-27,0.5662,0.5758,0.5342,0.5363,7418769,0,0
2018-04-28,0.5334,0.6048,0.5331,0.5655,16393956,0,0
2018-04-29,0.5645,0.5972,0.5578,0.5972,9766245,0,0
2018-04-30,0.5972,0.6447,0.5709,0.6156,16308830,0,0
2018-05-01,0.6162,0.6544,0.5676,0.6465,18699321,0,0
2018-05-02,0.6475,0.6704,0.6305,0.633,16426095,0,0
2018-05-03,0.6324,0.6654,0.628,0.6314,19281372,0,0
2018-05-04,0.6299,0.6439,0.615,0.6199,8853878,0,0
2018-05-05,0.6192,0.6265,0.5694,0.579,13349259,0,0
