Date,Open,High,Low,Close,Adj Close,Volume
2019-04-28,0.525559,0.564099,0.523485,0.542718,0.542718,77941038
2019-04-29,0.543027,0.544677,0.501605,0.506845,0.506845,59807463
2019-04-30,0.506652,0.532947,0.500246,0.514805,0.514805,57899328
2019-05-01,0.514804,0.530407,0.507571,0.522960,0.522960,60049955
2019-05-02,0.522997,0.530984,0.507627,0.511915,0.511915,56017198
2019-05-03,0.512030,0.521618,0.494673,0.507768,0.507768,68372943
2019-05-04,0.507768,0.511005,0.468237,0.484664,0.484664,61408353
2019-05-05,0.485194,0.499722,0.478940,0.483586,0.483586,48281336
2019-05-06,0.483396,0.484469,0.450533,0.464876,0.464876,53994487
2019-05-07,0.464606,0.471800,0.426823,0.427409,0.427409,55060063
2019-05-08,0.427293,0.447956,0.417332,0.423108,0.423108,51477380
2019-05-09,0.423109,0.427793,0.371501,0.378628,0.378628,70871479
2019-05-10,0.379004,0.501415,0.378254,0.488061,0.488061,153275895
2019-05-11,0.488386,0.512829,0.461786,0.494791,0.494791,138059624
2019-05-12,0.494984,0.545074,0.455380,0.475241,0.475241,108186317
2019-05-13,0.475241,0.489968,0.472152,0.480249,0.480249,79578576
2019-05-14,0.481456,0.504176,0.469726,0.491879,0.491879,70989366
2019-05-15,0.491764,0.547808,0.486807,0.545640,0.545640,73095960
2019-05-16,0.544917,0.573541,0.494533,0.509853,0.509853,80394321
2019-05-17,0.509211,0.514271,0.455918,0.497487,0.497487,83931265
2019-05-18,0.497375,0.540552,0.489190,0.502691,0.502691,89595134
2019-05-19,0.502691,0.529665,0.500025,0.516882,0.516882,85766921
2019-05-20,0.517093,0.517252,0.477663,0.488005,0.488005,80780349
2019-05-21,0.487952,0.503251,0.470935,0.493136,0.493136,109044380
2019-05-22,0.492101,0.495812,0.454929,0.463939,0.463939,60236242
2019-05-23,0.463982,0.469799,0.440090,0.469799,0.469799,69154216
2019-05-24,0.470025,0.484570,0.461768,0.472768,0.472768,76140485
2019-05-25,0.472768,0.478363,0.464553,0.468435,0.468435,60063334
2019-05-26,0.468214,0.479669,0.459406,0.475458,0.475458,67994596
2019-05-27,0.475601,0.520988,0.474886,0.507555,0.507555,90457547
2019-05-28,0.507819,0.509031,0.486713,0.498469,0.498469,72356363
2019-05-29,0.498701,0.498737,0.470813,0.489013,0.489013,65138708
2019-05-30,0.488708,0.514116,0.438725,0.458263,0.458263,86677923
2019-05-31,0.458263,0.474145,0.437909,0.472017,0.472017,61981263
2019-06-01,0.472046,0.489220,0.464269,0.481966,0.481966,65241938
2019-06-02,0.482450,0.496775,0.479735,0.483783,0.483783,59493173
2019-06-03,0.483563,0.500927,0.458204,0.462943,0.462943,78408900
2019-06-04,0.462895,0.477924,0.433189,0.442164,0.442164,83685278
2019-06-05,0.442895,0.459740,0.429332,0.441945,0.441945,66504744
2019-06-06,0.442066,0.453668,0.417980,0.439571,0.439571,62703256
2019-06-07,0.439409,0.461484,0.435736,0.452079,0.452079,67512687
2019-06-08,0.451708,0.465213,0.440762,0.449144,0.449144,63024614
2019-06-09,0.449275,0.456588,0.417762,0.425207,0.425207,61107833
2019-06-10,0.424751,0.446023,0.418413,0.442708,0.442708,52905084
2019-06-11,0.442701,0.444319,0.427710,0.431960,0.431960,44963116
2019-06-12,0.432399,0.448663,0.431518,0.445152,0.445152,52075678
2019-06-13,0.444871,0.446014,0.432083,0.433726,0.433726,54404625
2019-06-14,0.434169,0.436522,0.417049,0.429016,0.429016,63616184
2019-06-15,0.429086,0.448149,0.427576,0.442527,0.442527,61967284
2019-06-16,0.442445,0.452636,0.433631,0.450568,0.450568,68680763
2019-06-17,0.450871,0.491651,0.449800,0.462059,0.462059,66652037
2019-06-18,0.461926,0.469838,0.452080,0.468089,0.468089,55197820
2019-06-19,0.468365,0.470441,0.450527,0.451598,0.451598,42574226
2019-06-20,0.451536,0.454855,0.424787,0.435904,0.435904,49594464
2019-06-21,0.436108,0.439616,0.429386,0.434490,0.434490,42895959
2019-06-22,0.434837,0.448707,0.416824,0.437468,0.437468,80621436
2019-06-23,0.437651,0.444486,0.424568,0.427429,0.427429,54418802
2019-06-24,0.427429,0.436222,0.422117,0.425787,0.425787,45978610
2019-06-25,0.425393,0.427791,0.413326,0.415246,0.415246,54732645
2019-06-26,0.415106,0.430404,0.391439,0.398595,0.398595,86448658
2019-06-27,0.398071,0.404914,0.361416,0.374161,0.374161,55363781
2019-06-28,0.374472,0.387355,0.362429,0.383117,0.383117,38840872
2019-06-29,0.382981,0.423547,0.367589,0.422792,0.422792,56780743
2019-06-30,0.422525,0.447073,0.380969,0.386084,0.386084,61056500
2019-07-01,0.386425,0.453185,0.385980,0.432475,0.432475,110621263
2019-07-02,0.432251,0.440822,0.394593,0.420311,0.420311,75346261
2019-07-03,0.420477,0.422760,0.396543,0.404911,0.404911,56218435
2019-07-04,0.404955,0.410027,0.381070,0.384388,0.384388,42863265
2019-07-05,0.384391,0.396092,0.380351,0.385634,0.385634,35834090
2019-07-06,0.385626,0.389599,0.380538,0.383653,0.383653,31576347
2019-07-07,0.383856,0.400212,0.381426,0.392106,0.392106,28068938
2019-07-08,0.391608,0.416418,0.389810,0.390355,0.390355,41204638
2019-07-09,0.390449,0.398995,0.382327,0.387177,0.387177,34885691
2019-07-10,0.387472,0.426882,0.374891,0.387315,0.387315,52872513
2019-07-11,0.387120,0.391112,0.356549,0.382900,0.382900,45348777
2019-07-12,0.384046,0.387573,0.365166,0.379678,0.379678,37175003
2019-07-13,0.380112,0.385124,0.366070,0.374190,0.374190,29246498
2019-07-14,0.374365,0.374703,0.325670,0.325725,0.325725,28305100
2019-07-15,0.325553,0.327938,0.295672,0.324470,0.324470,31711732
2019-07-16,0.324319,0.326187,0.265865,0.269510,0.269510,29615543
2019-07-17,0.269041,0.294897,0.264527,0.283978,0.283978,28802514
2019-07-18,0.284106,0.306287,0.273600,0.304042,0.304042,30340800
2019-07-19,0.303955,0.333946,0.300969,0.321871,0.321871,41664576
2019-07-20,0.321731,0.343328,0.320336,0.332598,0.332598,32720808
2019-07-21,0.333095,0.337045,0.316861,0.324926,0.324926,20680047
2019-07-22,0.325007,0.331489,0.312439,0.322486,0.322486,20639184
2019-07-23,0.322452,0.332769,0.303121,0.304036,0.304036,22350654
2019-07-24,0.304074,0.311229,0.293619,0.306108,0.306108,20648546
2019-07-25,0.306138,0.316132,0.305212,0.308226,0.308226,17265973
2019-07-26,0.308201,0.346601,0.302929,0.345456,0.345456,35485752
2019-07-27,0.345329,0.365260,0.327484,0.355587,0.355587,62781584
2019-07-28,0.355936,0.365543,0.324257,0.339734,0.339734,41431824
2019-07-29,0.339214,0.347224,0.330984,0.334929,0.334929,28876885
2019-07-30,0.334989,0.336226,0.319954,0.324880,0.324880,28048633
2019-07-31,0.324885,0.332846,0.322078,0.326038,0.326038,23123985
2019-08-01,0.326059,0.326323,0.309953,0.313348,0.313348,25980004
2019-08-02,0.313436,0.323143,0.308281,0.311604,0.311604,36378826
2019-08-03,0.311632,0.315333,0.307143,0.311011,0.311011,32725895
2019-08-04,0.311029,0.319133,0.306150,0.312004,0.312004,31789454
2019-08-05,0.312130,0.319885,0.306567,0.309850,0.309850,43488003
2019-08-06,0.309775,0.311309,0.288002,0.288728,0.288728,38983749
2019-08-07,0.288786,0.309659,0.284716,0.294557,0.294557,43773208
2019-08-08,0.294889,0.307221,0.274515,0.277387,0.277387,45371489
2019-08-09,0.277169,0.279698,0.260570,0.264134,0.264134,30642576
2019-08-10,0.264202,0.283092,0.262857,0.268589,0.268589,30747211
2019-08-11,0.268703,0.275938,0.267018,0.274952,0.274952,37359605
2019-08-12,0.274975,0.274975,0.265251,0.268991,0.268991,30981913
2019-08-13,0.269051,0.272366,0.255463,0.259501,0.259501,39853043
2019-08-14,0.259526,0.262458,0.223953,0.224391,0.224391,42912051
2019-08-15,0.224698,0.249305,0.220949,0.249004,0.249004,31398232
2019-08-16,0.248967,0.250541,0.233301,0.238088,0.238088,33132284
2019-08-17,0.238183,0.240704,0.232723,0.234764,0.234764,24029942
2019-08-18,0.234636,0.249674,0.233117,0.245071,0.245071,27369639
2019-08-19,0.245168,0.250082,0.244137,0.247764,0.247764,28216964
2019-08-20,0.247553,0.247735,0.238284,0.239542,0.239542,22045168
2019-08-21,0.239426,0.250371,0.224354,0.242738,0.242738,39208826
2019-08-22,0.242599,0.269030,0.234834,0.265062,0.265062,64172981
2019-08-23,0.264915,0.270540,0.256130,0.268983,0.268983,42361203
2019-08-24,0.268944,0.274872,0.259286,0.270578,0.270578,40412662
2019-08-25,0.270592,0.275378,0.253933,0.255203,0.255203,33630894
2019-08-26,0.255681,0.258948,0.248548,0.249998,0.249998,37191145
2019-08-27,0.250034,0.251503,0.236774,0.250851,0.250851,36610898
2019-08-28,0.250895,0.264055,0.235541,0.243730,0.243730,39786900
2019-08-29,0.243748,0.243845,0.224813,0.226837,0.226837,31798474
2019-08-30,0.226936,0.239956,0.224887,0.238047,0.238047,23264359
2019-08-31,0.238181,0.242693,0.234280,0.237611,0.237611,22744806
2019-09-01,0.237477,0.245659,0.234796,0.241976,0.241976,25295348
2019-09-02,0.241746,0.243764,0.236109,0.243764,0.243764,27439173
2019-09-03,0.244461,0.248440,0.235950,0.238441,0.238441,35980137
2019-09-04,0.238403,0.240149,0.232207,0.232822,0.232822,25257058
2019-09-05,0.232818,0.233582,0.224796,0.228213,0.228213,24533681
2019-09-06,0.228233,0.228233,0.216313,0.219909,0.219909,27657863
2019-09-07,0.219731,0.235067,0.217570,0.230010,0.230010,27731404
2019-09-08,0.230075,0.235450,0.228268,0.232017,0.232017,27253253
2019-09-09,0.232061,0.233696,0.217909,0.227541,0.227541,32988509
2019-09-10,0.227708,0.234676,0.226745,0.226918,0.226918,32132562
2019-09-11,0.227119,0.228729,0.222556,0.225132,0.225132,26202879
2019-09-12,0.225185,0.234438,0.224334,0.227412,0.227412,30971002
2019-09-13,0.227205,0.231022,0.225884,0.228591,0.228591,24572843
2019-09-14,0.228555,0.232302,0.227274,0.231654,0.231654,22301921
2019-09-15,0.231594,0.233773,0.230287,0.230220,0.230220,20766351
2019-09-16,0.230214,0.237539,0.229873,0.236170,0.236170,30065313
2019-09-17,0.236183,0.247088,0.234863,0.245010,0.245010,31695596
2019-09-18,0.244947,0.263571,0.244593,0.263314,0.263314,46252556
2019-09-19,0.263250,0.262564,0.242953,0.260049,0.260049,39214366
2019-09-20,0.260266,0.284849,0.254191,0.280038,0.280038,59946105
2019-09-21,0.280126,0.293447,0.271571,0.273705,0.273705,51444630
2019-09-22,0.273489,0.274167,0.253784,0.254760,0.254760,39999984
2019-09-23,0.254618,0.272619,0.247829,0.248208,0.248208,37706170
2019-09-24,0.248278,0.253529,0.208145,0.208291,0.208291,40622660
2019-09-25,0.207819,0.220155,0.197456,0.214455,0.214455,43219207
2019-09-26,0.214195,0.224173,0.196403,0.202983,0.202983,33064969
